GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
41,1,wa.me,me,113233,372273,wa.me,me,41,1,113143,372346
42,1,nih.gov,gov,111548,284725,nih.gov,gov,42,1,111318,284323
43,33,gravatar.com,com,110987,326491,gravatar.com,com,43,33,110945,326691
44,1,github.io,io,109884,230428,github.io,io,44,1,109805,230358
45,34,qq.com,com,109857,588378,qq.com,com,45,34,109774,588957
46,35,download.macromedia.com,com,108887,270657,download.macromedia.com,com,46,35,108749,270644
47,2,t.me,me,108375,358941,t.me,me,47,2,108230,358651
48,36,flickr.com,com,108149,282105,flickr.com,com,48,36,107937,281712
49,1,forms.gle,gle,107725,259566,forms.gle,gle,50,1,107447,259374
50,5,apache.org,org,107500,197995,apache.org,org,49,5,107455,198184
51,37,amazonaws.com,com,107057,235434,amazonaws.com,com,51,37,106962,235475
52,6,archive.org,org,104887,256806,archive.org,org,53,6,104717,256582
53,38,support.apple.com,com,104825,283498,support.apple.com,com,52,38,104758,283278
54,1,miit.gov.cn,cn,104327,780755,miit.gov.cn,cn,54,1,104166,781121
55,39,sites.google.com,com,104257,244972,sites.google.com,com,55,39,103928,244601
56,40,spotify.com,com,104164,282971,spotify.com,com,56,40,103862,282425
57,41,nytimes.com,com,103718,264340,nytimes.com,com,57,41,103463,263877
58,42,medium.com,com,101284,245758,medium.com,com,58,42,101119,245340
59,43,cloudflare.com,com,100934,279932,cloudflare.com,com,59,43,100930,279809
60,2,beian.miit.gov.cn,cn,100916,739269,beian.miit.gov.cn,cn,60,2,100767,739630
61,2,ec.europa.eu,eu,100236,310741,ec.europa.eu,eu,61,2,100085,310489
62,44,soundcloud.com,com,97774,264514,soundcloud.com,com,62,44,97498,264202
63,45,forbes.com,com,96419,238218,forbes.com,com,63,45,96235,237813
64,7,w3.org,org,96265,197506,w3.org,org,64,7,96125,197470
65,46,open.spotify.com,com,94375,252767,open.spotify.com,com,65,46,94107,252267
66,2,www.ncbi.nlm.nih.gov,gov,94065,230945,www.ncbi.nlm.nih.gov,gov,66,2,93860,230652
67,47,office.com,com,94032,217146,office.com,com,67,47,93673,216731
68,1,zoom.us,us,93622,210401,zoom.us,us,68,1,93452,210151
69,48,baidu.com,com,93321,441896,baidu.com,com,69,48,93232,442230
70,8,creativecommons.org,org,92923,204946,creativecommons.org,org,71,8,92644,204758
71,49,googleblog.com,com,92720,240661,googleblog.com,com,70,49,92964,241775
72,9,nginx.org,org,92181,184398,nginx.org,org,72,9,92197,184658
73,1,t.co,co,90781,247896,t.co,co,73,1,90610,247665
74,50,theguardian.com,com,89729,223354,theguardian.com,com,74,50,89494,222990
75,51,go.microsoft.com,com,89287,166573,go.microsoft.com,com,75,51,89397,167049
76,52,nginx.com,com,88963,177822,nginx.com,com,76,52,88992,178078
77,53,tools.google.com,com,87647,266173,tools.google.com,com,77,53,87580,266063
78,1,sourceforge.net,net,85694,163589,sourceforge.net,net,78,1,85607,163659
79,54,cnn.com,com,84944,204799,cnn.com,com,80,55,84672,204386
80,55,dropbox.com,com,84860,191497,dropbox.com,com,79,54,84674,191170
81,56,paypal.com,com,83992,222136,paypal.com,com,81,56,83365,221386
82,1,who.int,int,82740,185307,who.int,int,83,1,82506,185022
83,57,sciencedirect.com,com,82373,190002,sciencedirect.com,com,84,58,82219,189672
84,58,workspaceupdates.googleblog.com,com,82314,213438,workspaceupdates.googleblog.com,com,82,57,82610,214574
85,10,web.archive.org,org,81793,191936,web.archive.org,org,85,10,81666,191696
86,11,httpd.apache.org,org,80874,141743,httpd.apache.org,org,86,11,80895,141929
87,59,wixsite.com,com,80805,189687,wixsite.com,com,87,59,80604,189437
88,60,opera.com,com,79534,193344,opera.com,com,89,61,79490,193399
89,61,vk.com,com,79461,253774,vk.com,com,90,62,79418,253792
90,1,bbc.co.uk,uk,79251,191597,bbc.co.uk,uk,91,1,79034,191357
91,62,l.facebook.com,com,79063,197505,l.facebook.com,com,92,63,78899,197445
92,63,tinyurl.com,com,78501,184269,tinyurl.com,com,93,64,78262,184071
93,12,doi.org,org,78386,170872,doi.org,org,94,12,78233,170656
94,64,issuu.com,com,78306,178785,issuu.com,com,95,65,78113,178781
95,65,live.com,com,77756,176822,live.com,com,88,60,79768,181948
96,66,bbc.com,com,77272,182683,bbc.com,com,96,66,77264,182547
97,67,weebly.com,com,76202,173791,weebly.com,com,97,67,75981,173483
98,3,cdc.gov,gov,76025,184262,cdc.gov,gov,98,3,75854,184060
99,68,youtube-nocookie.com,com,75479,181557,youtube-nocookie.com,com,99,68,75365,181496
100,69,accounts.google.com,com,74342,153910,accounts.google.com,com,114,77,68165,136704
101,70,reuters.com,com,73240,168100,reuters.com,com,100,69,73126,167839
102,1,harvard.edu,edu,72785,165119,harvard.edu,edu,101,1,72576,164773
103,2,mit.edu,edu,72506,149711,mit.edu,edu,102,2,72301,149463
104,71,bing.com,com,71870,155112,bing.com,com,103,70,71758,155124
105,72,imdb.com,com,71549,180175,imdb.com,com,104,71,71283,179795
106,73,washingtonpost.com,com,71405,168961,washingtonpost.com,com,105,72,71244,168591
107,13,wikimedia.org,org,70942,160700,wikimedia.org,org,106,13,70710,160479
108,2,php.net,net,70400,130913,php.net,net,107,2,70400,131173
109,74,wiley.com,com,70387,152658,wiley.com,com,109,74,70196,152436
110,14,un.org,org,70269,148253,un.org,org,110,14,70069,147990
111,75,oracle.com,com,70207,124618,oracle.com,com,108,73,70224,124758
112,76,nature.com,com,69735,152102,nature.com,com,111,75,69509,151752
113,3,researchgate.net,net,69657,154306,researchgate.net,net,112,3,69490,154148
114,77,bloomberg.com,com,68618,154519,bloomberg.com,com,113,76,69024,155329
115,78,weibo.com,com,68092,197970,weibo.com,com,115,78,67998,198108
116,79,wsj.com,com,67746,154068,wsj.com,com,116,79,67656,153931
117,80,shopify.com,com,67599,150875,shopify.com,com,118,81,67239,150284
118,81,businessinsider.com,com,67434,156764,businessinsider.com,com,117,80,67269,156521
119,15,gnu.org,org,66984,122847,gnu.org,org,119,15,66998,123256
120,82,springer.com,com,66748,142158,springer.com,com,120,82,66587,141928
121,83,msn.com,com,65694,142249,msn.com,com,121,83,65523,142057
122,3,stanford.edu,edu,65675,136935,stanford.edu,edu,122,3,65394,136666
123,84,ibm.com,com,65668,126149,ibm.com,com,123,84,65323,125410
124,85,list-manage.com,com,64033,144940,list-manage.com,com,125,86,63867,144839
125,86,outlook.com,com,64004,131621,outlook.com,com,124,85,63951,131490
126,87,wpa.qq.com,com,63674,300297,wpa.qq.com,com,126,87,63656,300688
127,1,g.page,page,62143,153694,g.page,page,127,1,61950,153609
128,4,nasa.gov,gov,61560,128928,nasa.gov,gov,128,4,61396,128701
129,88,mp.weixin.qq.com,com,60914,199748,mp.weixin.qq.com,com,129,88,60812,199735
130,4,cpanel.net,net,60415,202564,cpanel.net,net,130,4,60403,202632
131,89,eventbrite.com,com,60327,135454,eventbrite.com,com,132,90,59679,133835
132,90,wp.com,com,60078,170912,wp.com,com,131,89,60009,171101
133,91,statista.com,com,59306,133286,statista.com,com,133,91,59021,132963
134,2,www.gov.uk,uk,58960,138647,www.gov.uk,uk,134,2,58817,138558
135,92,cnbc.com,com,58914,133852,cnbc.com,com,135,92,58743,133675
136,5,slideshare.net,net,58827,119686,slideshare.net,net,136,5,58688,119502
137,93,time.com,com,58423,132441,time.com,com,138,94,58229,132245
138,94,unsplash.com,com,58293,135505,unsplash.com,com,137,93,58243,135508
139,6,cloudfront.net,net,57819,120656,cloudfront.net,net,139,6,57560,120359
140,1,amzn.to,to,57618,172117,amzn.to,to,140,1,57531,172101
141,1,linktr.ee,ee,57491,131966,linktr.ee,ee,141,1,57300,131735
142,95,go.com,com,57301,132179,go.com,com,143,95,56989,131685
143,3,beian.gov.cn,cn,57199,211748,beian.gov.cn,cn,142,3,57124,211923
144,16,npr.org,org,56528,133273,npr.org,org,145,16,56305,133057
145,3,dailymail.co.uk,uk,56505,132085,dailymail.co.uk,uk,144,3,56318,131817
146,96,wired.com,com,56442,123587,wired.com,com,146,96,56253,123338
147,97,usatoday.com,com,56269,130727,usatoday.com,com,147,97,56113,130443
148,4,telegraph.co.uk,uk,56222,127562,telegraph.co.uk,uk,148,4,56079,127396
149,98,googleusercontent.com,com,55069,126464,googleusercontent.com,com,149,98,54867,126404
150,99,ted.com,com,54789,115590,ted.com,com,150,99,54624,115458
151,100,surveymonkey.com,com,54621,106522,surveymonkey.com,com,152,101,54361,106212
152,101,cnet.com,com,54477,117306,cnet.com,com,153,102,54330,117059
153,102,addtoany.com,com,54452,137726,addtoany.com,com,151,100,54471,137816
154,103,hp.com,com,53931,97367,hp.com,com,154,103,53972,97684
155,17,commons.wikimedia.org,org,53647,117399,commons.wikimedia.org,org,155,17,53415,117207
156,104,myshopify.com,com,53568,116584,myshopify.com,com,156,104,53379,116168
157,3,telegram.me,me,53286,157123,telegram.me,me,157,3,53243,157326
158,105,ebay.com,com,53085,120367,ebay.com,com,159,106,52942,120176
159,106,mysql.com,com,52997,89815,mysql.com,com,158,105,53006,90007
160,1,aboutads.info,info,52552,140442,aboutads.info,info,161,1,52463,140280
161,18,debian.org,org,52498,84914,debian.org,org,160,18,52523,85002
162,107,blogger.com,com,52051,122435,blogger.com,com,162,107,51902,122393
163,5,loc.gov,gov,51785,99004,loc.gov,gov,163,5,51726,98986
164,108,etsy.com,com,51769,128720,etsy.com,com,164,108,51624,128678
165,109,i0.wp.com,com,51597,145064,i0.wp.com,com,165,109,51556,145272
166,110,wix.com,com,51542,106982,wix.com,com,166,110,51500,106896
167,7,launchpad.net,net,51477,79837,launchpad.net,net,167,7,51462,79928
168,1,twitch.tv,tv,51254,117561,twitch.tv,tv,168,1,51126,117296
169,1,gc.ca,ca,51245,108824,gc.ca,ca,170,1,51093,108679
170,8,behance.net,net,51173,118131,behance.net,net,169,8,51096,118171
171,19,validator.w3.org,org,50872,95545,validator.w3.org,org,171,19,50891,95582
172,111,x.com,com,50625,125341,x.com,com,173,111,50360,125036
173,4,berkeley.edu,edu,50607,101799,berkeley.edu,edu,172,4,50413,101693
174,5,independent.co.uk,uk,50411,114594,independent.co.uk,uk,175,5,50295,114349
175,20,ietf.org,org,50382,84665,ietf.org,org,174,20,50312,84703
176,112,oup.com,com,50255,104018,oup.com,com,176,112,50103,103773
177,113,techcrunch.com,com,50033,106608,techcrunch.com,com,177,113,49907,106285
178,114,myspace.com,com,49900,109298,myspace.com,com,178,114,49835,109268
179,115,ft.com,com,49814,106087,ft.com,com,179,115,49653,105847
180,116,bp.blogspot.com,com,49496,114766,bp.blogspot.com,com,180,116,49380,114780
181,117,webmd.com,com,49444,120035,webmd.com,com,181,117,49316,119942
182,5,cornell.edu,edu,48993,104213,cornell.edu,edu,183,5,48840,104043
183,1,discord.gg,gg,48966,109385,discord.gg,gg,182,1,48995,109609
184,118,tandfonline.com,com,48919,100439,tandfonline.com,com,184,118,48783,100276
185,119,squarespace.com,com,48886,104719,squarespace.com,com,185,119,48698,104340
186,6,amazon.co.uk,uk,48822,116839,amazon.co.uk,uk,186,6,48633,116592
187,120,stackoverflow.com,com,48606,88946,stackoverflow.com,com,187,120,48552,88874
188,121,cbsnews.com,com,48340,111605,cbsnews.com,com,188,121,48238,111399
189,122,imgur.com,com,48091,104619,imgur.com,com,189,122,47967,104696
190,6,ca.gov,gov,47931,108913,ca.gov,gov,191,6,47728,108584
191,123,mailchimp.com,com,47928,108179,mailchimp.com,com,190,123,47846,108142
192,124,prnewswire.com,com,47815,102309,prnewswire.com,com,193,125,47587,102045
193,125,calendly.com,com,47694,110672,calendly.com,com,192,124,47653,110642
194,126,latimes.com,com,47535,108656,latimes.com,com,195,127,47362,108400
195,127,theverge.com,com,47513,102352,theverge.com,com,194,126,47422,102210
196,128,huffingtonpost.com,com,47398,105696,huffingtonpost.com,com,196,128,47252,105528
197,6,washington.edu,edu,47253,86928,washington.edu,edu,197,6,47202,87005
198,1,free.fr,fr,47102,94597,free.fr,fr,199,1,46999,94612
199,129,hubspot.com,com,47099,99866,hubspot.com,com,198,129,47014,99781
200,130,dailymotion.com,com,46876,108957,dailymotion.com,com,201,131,46764,108937
201,1,google.de,de,46820,151553,google.de,de,203,1,46624,151595
202,4,line.me,me,46796,146379,line.me,me,202,4,46649,146319
203,7,fda.gov,gov,46561,99629,fda.gov,gov,206,7,46363,99358
204,21,allaboutcookies.org,org,46528,108106,allaboutcookies.org,org,204,21,46553,108176
205,22,fr.wikipedia.org,org,46472,102121,fr.wikipedia.org,org,205,22,46388,102160
206,23,networkadvertising.org,org,46384,109766,networkadvertising.org,org,207,23,46302,109722
207,131,sharepoint.com,com,46211,80046,sharepoint.com,com,210,133,46051,79964
208,132,yelp.com,com,46202,123020,yelp.com,com,209,132,46119,123004
209,133,britannica.com,com,46177,106944,britannica.com,com,211,134,46050,106693
210,9,themeforest.net,net,46131,111280,themeforest.net,net,208,9,46168,111381
211,24,hbr.org,org,46118,95323,hbr.org,org,214,24,45909,95097
212,134,sagepub.com,com,46115,94649,sagepub.com,com,213,135,45944,94449
213,25,unesco.org,org,46068,90998,unesco.org,org,215,25,45890,90806
214,4,sina.com.cn,cn,46025,116865,sina.com.cn,cn,212,4,45968,116827
215,135,goodreads.com,com,45994,105251,goodreads.com,com,216,136,45877,105164
216,136,nationalgeographic.com,com,45894,96663,nationalgeographic.com,com,218,138,45669,96506
217,137,baike.baidu.com,com,45821,139045,baike.baidu.com,com,217,137,45815,139172
218,138,samsung.com,com,45806,92311,samsung.com,com,219,139,45647,92164
219,139,tripadvisor.com,com,45637,104586,tripadvisor.com,com,221,140,45516,104457
220,26,cookiedatabase.org,org,45635,133694,cookiedatabase.org,org,220,26,45606,133816
221,140,theatlantic.com,com,45334,100128,theatlantic.com,com,222,141,45192,99974
222,1,mailchi.mp,mp,45138,93513,mailchi.mp,mp,223,1,45045,93382
223,141,pixabay.com,com,44978,102081,pixabay.com,com,224,142,44810,102002
224,7,princeton.edu,edu,44756,81957,princeton.edu,edu,225,7,44675,81956
225,1,business.site,site,44353,95616,business.site,site,227,1,44282,95463
226,142,canva.com,com,44148,93517,canva.com,com,228,144,43983,93370
227,143,investopedia.com,com,43896,102587,investopedia.com,com,231,146,43758,102416
228,144,jotform.com,com,43894,90102,jotform.com,com,230,145,43782,90067
229,27,iso.org,org,43883,72151,iso.org,org,229,27,43886,72221
230,145,bandcamp.com,com,43763,100467,bandcamp.com,com,232,147,43562,100324
231,28,de.wikipedia.org,org,43625,122230,de.wikipedia.org,org,233,28,43456,122110
232,146,netflix.com,com,43476,100079,netflix.com,com,235,149,43366,99931
233,147,youku.com,com,43469,118964,youku.com,com,234,148,43410,119100
234,148,kickstarter.com,com,43344,92252,kickstarter.com,com,238,150,43189,92143
235,8,whitehouse.gov,gov,43328,90306,whitehouse.gov,gov,237,8,43211,90207
236,29,cambridge.org,org,43285,88785,cambridge.org,org,236,29,43222,88746
237,149,godaddy.com,com,43255,86474,godaddy.com,com,240,152,43083,86063
238,150,nbcnews.com,com,43230,98125,nbcnews.com,com,239,151,43092,97930
239,151,hugedomains.com,com,42974,74908,hugedomains.com,com,226,143,44524,78020
240,152,groups.google.com,com,42961,79881,groups.google.com,com,241,153,42893,79927
241,9,epa.gov,gov,42849,91900,epa.gov,gov,242,9,42696,91755
242,153,openai.com,com,42744,90493,openai.com,com,245,156,42588,90339
243,154,booking.com,com,42732,95229,booking.com,com,244,155,42588,95152
244,155,marriott.com,com,42704,84127,marriott.com,com,243,154,42618,84068
245,10,usda.gov,gov,42682,93667,usda.gov,gov,246,10,42531,93487
246,156,quora.com,com,42559,96780,quora.com,com,248,157,42463,96649
247,30,worldbank.org,org,42526,81939,worldbank.org,org,247,30,42482,81986
248,157,healthline.com,com,42357,105758,healthline.com,com,249,158,42364,105722
249,5,fb.me,me,42346,84900,fb.me,me,251,5,42248,84784
250,158,taobao.com,com,42327,95459,taobao.com,com,252,160,42225,95497
251,159,scribd.com,com,42319,89480,scribd.com,com,253,161,42195,89416
252,160,fb.com,com,42299,89089,fb.com,com,254,162,42189,89064
253,161,redhat.com,com,42297,67073,redhat.com,com,250,159,42249,67017
254,162,outlook.live.com,com,42271,96463,outlook.live.com,com,200,130,46995,106049
255,2,gouv.fr,fr,42021,96007,gouv.fr,fr,255,2,41937,95986
256,7,google.co.uk,uk,41952,97572,google.co.uk,uk,256,7,41913,97710
257,163,livejournal.com,com,41782,89832,livejournal.com,com,257,163,41748,89877
258,164,skype.com,com,41666,86727,skype.com,com,259,165,41642,86671
259,165,example.com,com,41644,81943,example.com,com,258,164,41659,81954
260,166,plesk.com,com,41475,104300,plesk.com,com,260,166,41448,104334
261,167,163.com,com,41406,96667,163.com,com,263,168,41333,96625
262,31,mayoclinic.org,org,41396,99354,mayoclinic.org,org,262,31,41380,99352
263,168,stripe.com,com,41229,91109,stripe.com,com,264,169,41165,91044
264,169,mckinsey.com,com,41171,80285,mckinsey.com,com,265,170,41035,80074
265,170,businesswire.com,com,41095,83343,businesswire.com,com,269,173,40905,83114
266,171,economist.com,com,41058,81736,economist.com,com,268,172,40906,81628
267,32,change.org,org,41045,88824,change.org,org,267,32,40920,88664
268,172,discord.com,com,41035,90037,discord.com,com,266,171,40942,90074
269,33,weforum.org,org,40897,80344,weforum.org,org,271,33,40742,80189
270,173,statcounter.com,com,40831,99300,statcounter.com,com,270,174,40751,99199
271,174,youronlinechoices.com,com,40784,112855,youronlinechoices.com,com,272,175,40692,112713
272,8,columbia.edu,edu,40707,80013,columbia.edu,edu,273,8,40562,79910
273,175,eepurl.com,com,40461,89197,eepurl.com,com,274,176,40378,89176
274,34,pbs.org,org,40432,89637,pbs.org,org,275,34,40353,89665
275,176,usnews.com,com,40311,90084,usnews.com,com,277,177,40089,89811
276,177,huffpost.com,com,40248,90053,huffpost.com,com,261,167,41419,92741
277,35,arxiv.org,org,40244,75173,arxiv.org,org,276,35,40111,75011
278,9,academia.edu,edu,40175,80397,academia.edu,edu,279,9,40019,80331
279,36,ieee.org,org,40104,72143,ieee.org,org,281,36,39925,72003
280,178,web.whatsapp.com,com,40100,103986,web.whatsapp.com,com,278,178,40085,104148
281,179,translate.google.com,com,40069,78604,translate.google.com,com,280,179,39973,78563
282,180,mdpi.com,com,40049,80474,mdpi.com,com,283,181,39895,80281
283,10,umich.edu,edu,40044,79595,umich.edu,edu,284,10,39878,79459
284,11,noaa.gov,gov,39972,80454,noaa.gov,gov,286,11,39767,80273
285,181,outlook.office.com,com,39948,89399,outlook.office.com,com,282,180,39915,89311
286,182,deloitte.com,com,39922,75097,deloitte.com,com,287,183,39733,74811
287,183,indiatimes.com,com,39917,89349,indiatimes.com,com,285,182,39815,89122
288,37,plos.org,org,39877,78649,plos.org,org,288,37,39687,78368
289,184,theconversation.com,com,39704,84118,theconversation.com,com,291,186,39568,83989
290,185,akismet.com,com,39696,104918,akismet.com,com,289,184,39672,105024
291,186,indeed.com,com,39695,85999,indeed.com,com,290,185,39623,85846
292,12,state.gov,gov,39629,81743,state.gov,gov,292,12,39561,81636
293,187,foxnews.com,com,39417,87394,foxnews.com,com,293,187,39261,87277
294,188,wikihow.com,com,39344,86938,wikihow.com,com,294,188,39240,86883
295,11,yale.edu,edu,39276,77815,yale.edu,edu,295,11,39141,77644
296,189,fandom.com,com,39253,87900,fandom.com,com,296,189,39130,87786
297,190,biomedcentral.com,com,39187,78199,biomedcentral.com,com,297,190,39060,78111
298,191,jimdo.com,com,39086,88341,jimdo.com,com,300,193,38918,88139
299,192,psychologytoday.com,com,39071,86933,psychologytoday.com,com,299,192,38952,86750
300,193,cisco.com,com,39054,68130,cisco.com,com,298,191,39032,68120
301,194,perfectdomain.com,com,38965,70245,perfectdomain.com,com,302,195,38830,70091
302,195,about.com,com,38795,77760,about.com,com,304,197,38691,77668
303,196,ubuntu.com,com,38785,64306,ubuntu.com,com,303,196,38747,64357
304,8,ox.ac.uk,uk,38733,72977,ox.ac.uk,uk,308,8,38532,72714
305,197,aol.com,com,38722,77020,aol.com,com,301,194,38836,77464
306,198,vice.com,com,38702,83773,vice.com,com,306,198,38595,83602
307,12,psu.edu,edu,38675,76364,psu.edu,edu,305,12,38603,76334
308,199,1.bp.blogspot.com,com,38639,87794,1.bp.blogspot.com,com,307,199,38541,87887
309,200,arcgis.com,com,38515,71639,arcgis.com,com,309,200,38402,71478
310,201,dribbble.com,com,38425,84940,dribbble.com,com,310,201,38395,85025
311,202,sciencedaily.com,com,38347,81086,sciencedaily.com,com,311,202,38234,81066
312,203,deviantart.com,com,38234,81730,deviantart.com,com,312,203,38169,81807
313,204,scholar.google.com,com,38220,72166,scholar.google.com,com,313,204,38118,72107
314,205,bmj.com,com,38087,77063,bmj.com,com,316,205,37933,76889
315,38,apa.org,org,38070,77645,apa.org,org,315,38,37967,77518
316,2,readthedocs.io,io,38056,61142,readthedocs.io,io,314,2,38017,61160
317,206,zendesk.com,com,38004,75400,zendesk.com,com,317,206,37920,75271
318,207,trustpilot.com,com,37939,88522,trustpilot.com,com,318,207,37827,88585
319,13,upenn.edu,edu,37912,74327,upenn.edu,edu,319,13,37826,74278
320,39,frontiersin.org,org,37851,77157,frontiersin.org,org,321,39,37701,76940
321,1,fb.watch,watch,37847,74113,fb.watch,watch,323,1,37696,73991
322,1,yandex.ru,ru,37827,115272,yandex.ru,ru,320,1,37777,115317
323,208,typepad.com,com,37813,79620,typepad.com,com,325,209,37676,79402
324,2,cbc.ca,ca,37801,84657,cbc.ca,ca,322,2,37700,84643
325,209,pexels.com,com,37765,83465,pexels.com,com,324,208,37693,83387
326,210,fortune.com,com,37727,78531,fortune.com,com,326,210,37647,78408
327,211,intel.com,com,37636,66654,intel.com,com,327,211,37447,66409
328,212,typeform.com,com,37489,73236,typeform.com,com,328,212,37382,73141
329,213,zdnet.com,com,37348,71305,zdnet.com,com,329,213,37203,71107
330,214,aliyun.com,com,37104,79547,aliyun.com,com,331,215,37069,79507
331,40,science.org,org,37099,72703,science.org,org,333,41,36961,72553
332,41,oecd.org,org,37087,67968,oecd.org,org,332,40,37009,67807
333,215,ai-lawandorder.com,com,36894,59938,ai-lawandorder.com,com,330,214,37131,60572
334,216,steampowered.com,com,36821,77828,steampowered.com,com,334,216,36727,77873
335,217,giphy.com,com,36770,81086,giphy.com,com,337,218,36637,81071
336,42,sciencemag.org,org,36761,67458,sciencemag.org,org,338,43,36599,67312
337,218,bilibili.com,com,36730,74659,bilibili.com,com,336,217,36677,74656
338,43,pewresearch.org,org,36658,77022,pewresearch.org,org,335,42,36703,77186
339,2,amazon.de,de,36602,95610,amazon.de,de,340,2,36461,95627
340,219,mashable.com,com,36590,75411,mashable.com,com,341,220,36446,75358
341,220,gitlab.com,com,36587,59932,gitlab.com,com,339,219,36524,59995
342,221,buzzfeed.com,com,36573,79610,buzzfeed.com,com,342,221,36431,79505
343,222,nypost.com,com,36492,82226,nypost.com,com,344,223,36347,81917
344,223,newyorker.com,com,36484,77565,newyorker.com,com,345,224,36316,77339
345,224,sohu.com,com,36478,84565,sohu.com,com,343,222,36401,84551
346,1,or.kr,kr,36413,71218,or.kr,kr,347,1,36283,71055
347,225,apnews.com,com,36372,80911,apnews.com,com,349,227,36231,80808
348,226,sun.com,com,36357,54725,sun.com,com,346,225,36308,54764
349,227,docker.com,com,36304,61674,docker.com,com,348,226,36259,61690
350,228,xing.com,com,36269,97347,xing.com,com,351,229,36160,97191
351,14,umn.edu,edu,36268,70517,umn.edu,edu,353,14,36076,70335
352,229,geocities.com,com,36247,67113,geocities.com,com,350,228,36164,67155
353,230,oreilly.com,com,36196,60597,oreilly.com,com,352,230,36151,60707
354,15,uci.edu,edu,35978,60817,uci.edu,edu,354,15,35930,60760
355,44,python.org,org,35976,59405,python.org,org,355,44,35921,59372
356,1,abc.net.au,au,35911,75423,abc.net.au,au,357,1,35807,75304
357,231,fastcompany.com,com,35896,72975,fastcompany.com,com,356,231,35817,72832
358,232,xinhuanet.com,com,35867,82339,xinhuanet.com,com,358,232,35751,82283
359,45,openstreetmap.org,org,35795,70974,openstreetmap.org,org,359,45,35739,70996
360,233,android.com,com,35746,65594,android.com,com,360,233,35679,65525
361,234,3.bp.blogspot.com,com,35338,76102,3.bp.blogspot.com,com,361,234,35300,76114
362,235,salesforce.com,com,35331,66503,salesforce.com,com,365,238,35100,66227
363,236,tripod.com,com,35323,66929,tripod.com,com,362,235,35201,66928
364,237,microsoftonline.com,com,35322,55064,microsoftonline.com,com,369,242,34905,54320
